ID,target
000137c73,1925778.9333070363
00021489f,1869844.4924482466
0004d7953,1637301.062570927
00056a333,3158990.949430165
00056d8eb,1389804.0888027602
0005fc190,2726438.8622306907
000787e86,1669864.6697025814
0008510a0,1978420.9430388943
000895faf,2802724.970136324
000986fba,1725191.002695651
0009efcc5,20000000.0
000dd8f00,13505341.866561538
000e1cdc2,1924737.3412886895
00103739c,2242738.3061632705
00134b367,1466964.8239168664
001788d0d,2026849.4217038215
0019c8ad7,1747760.6287017765
001a267b9,706383.7586762228
001a85486,1904572.3482349564
001c4de06,2061361.2481950594
001f9014b,2109458.6687427224
00216fb94,3273187.8905224656
00235690e,3201619.343118382
00240739d,10658198.33948524
0024c3747,2335498.806679622
00297052d,1644003.2527906452
002ab8f85,1702334.1252535053
002bed5c0,1769068.8648834599
002bf3974,2813300.065527198
002d23a26,2588208.9160621953
002f27de9,2102240.682831698
0030d8bb4,2306272.0971359103
003146acd,1722610.09841764
003223263,1104145.8213499694
00335575e,1995207.4462040516
00337cf9d,2050598.7712161648
003394397,2100082.578430708
0036358a3,3777658.053166855
003770d30,2405150.3669832707
003bed5ea,1126721.7766850307
003ea6427,1740487.455228765
003ef8132,6833635.7384746
003fd1723,2585239.910484756
0041861b4,2943750.0
0042b718b,2770293.486912443
004381d8f,3373551.9405040075
0043ca764,2147639.0094208997
004486837,402419.10197126435
0045c123e,4000000.0
0048915c6,2093155.8795214195
004ab9a09,2079464.1170620678
004b2e1c9,3867947.3391352403
004c54732,1436818.2351207396
004cdefce,6285780.868002586
004dd971b,2022666.66
004f9329b,1656938.8072354675
004fd2bca,1130268.3395525825
0054bfedb,1688774.347226645
0054ec58a,347888.12428876857
00551f45d,20000000.0
005777b4c,2127811.5434417212
00578d6ea,1779106.8584970655
005802488,1974988.314016851
0059833b6,1947080.444654304
005a70085,1946031.9377141423
005b148a0,2663292.5459946496
005c28df4,1568442.8180598298
005f8dc26,3187771.044491126
00603c202,3485548.946038625
006049609,4700677.658047779
00612f47e,775322.107642368
00647a57f,7060113.718278004
0065853ee,1860059.456026818
006589d5e,832923.2694443759
006598823,10000000.0
0065c093c,1738655.3091479638
006738351,2320933.829982925
006a0c6a8,1428866.3469478542
006e9efe6,2189776.7271296275
006f029d3,1294407.8481569684
0070f35a2,2693989.606742945
007135f85,5367148.350041183
007285433,40000000.0
00735e101,2015444.0453386998
0074ecf4e,3559941.90420491
007635fa9,1406598.8152329945
007723613,2165664.6939283744
007867da9,737344.7007846792
0078bfbd6,798815.7129222902
0078ce229,557808.7339605006
007a89d50,2733129.0617030067
007d43dfa,2151046.2395339073
007ee9e05,2264557.122192836
007ffeae2,2859175.5766963935
00835c85c,1898558.709535806
0084b08f1,1729056.2816832415
0087fb290,1819923.1224325201
0088a96bd,2794857.14
008ac4292,2364075.686211462
008d8cca8,1722572.2402111047
008e07b8c,1951131.2942320346
008e5e25a,2983973.8433982646
0094edcdb,933333.34
00950141c,2912592.4947053664
009566ef1,2229512.295763182
0095c81d4,1275469.8082233802
0097a6ed4,12400000.0
0098fef9a,1723651.9694038564
009b321ec,4077136.294151898
009cd681e,2923146.3285579514
009f34f86,1226216.9974505214
009f35cd3,2007128.3089336206
009f65109,6000000.0
00a19014a,18000000.0
00a27e76a,360000.0
00a3b6ef7,1940698.0279072523
00a427603,1194746.3956962784
00a6dc8be,2001836.4839579242
00a811734,10000000.0
00a8f58a7,4684620.50516748
00aaae151,2833060.921768095
00ab17f67,1609716.172514252
00ac2d3a5,1972813.4211529896
00adab1b6,2510741.1541255484
00aef0d56,908556.5359618181
00b0b06c4,2100000.0
00b0e2303,531000.0
00b1fbbc9,613707.2294576911
00b43e0c1,3403222.2380270367
00b7190a8,1670505.2680501887
00b722e1b,190000.0
00bba815f,2161956.775430106
00bbb1c42,2364512.775196245
00bc2b665,1440919.5420798066
00bc35689,2800000.0
00be23f52,2324693.6042187396
00be24ac5,2122991.594835523
00bfd0f70,2476621.001293067
00c02f73e,3173393.8786759274
00c08e5b3,1988697.6047616766
00c8690ff,4226020.995484055
00c8df4d5,800000.0
00c8e30de,2332970.7562066573
00ca3fb04,1340765.055801836
00cabf621,1637958.008135566
00cb48ae3,1630043.1672812377
00cb6b147,1836260.1423454154
00cc91a22,3479415.776223709
00cd65e9d,1730573.5154267747
00cd7d6a8,1295474.16778071
00cdc1483,1775968.4359893012
00ce9bea5,1743724.41818867
00cea0091,3703627.6770908884
00cea68c6,2356536.009901263
00d5a5975,3026554.991443357
00d80a3a4,37500000.0
00d9f3864,356142.4027517206
00da4bd31,2345170.756328406
00df4dd77,7779669.4206703855
00e1a55bf,1503539.4924178242
00e332971,2194734.6444945424
00e5b6b1b,2714272.2680713343
00e85d5e3,1885624.4520159087
00e90abfa,1654187.0724290276
00e9708b4,1891511.7251160718
00e9c680f,20000000.0
00eaa4394,2162417.4642281528
00eae8832,2063360.371757346
00ebefdc0,2086474.7306123837
00ecbcb1b,1523683.2039823977
00ed49382,2196740.4062053426
00ed87564,6777012.094618711
00ef96cfd,90666.66
00efe7ca3,2788261.5655221916
00f36aa18,1276387.51738993
00f3fb071,2261522.3580575124
00f43f548,2142362.975101208
00f4d58ec,2157181.644341598
00f56e106,4240799.972436719
00f84d8c2,2439793.4350869427
00f92953b,1370494.223805778
00fa1d469,14349471.869854033
00ff96f49,1726075.5786683008
0100ce0d8,2797013.7592835114
0102ea9e1,3256784.367208746
0104b3af3,2329306.387279954
010672441,698365.8928538584
010771ca5,4254938.622984763
0108aea9f,1276235.6523714336
010a479e1,2221175.2518569683
010d0a2dd,2981717.787946754
010e3cea2,1309743.6402314454
010e5417b,2361020.2184427166
01108a561,110000.0
0110cca98,1373235.184503989
011449698,2815172.4171800814
0114795f0,1649965.0406414254
011626c20,39200000.0
0117c8f27,2652924.321582576
0117dcb47,863354.1975509279
0118c34be,2456650.7811736157
0119efcb9,4218698.666963302
011a58e13,1889977.189340542
011b7902b,5590582.853461297
011ca122e,200000.0
012053244,1573470.2882365382
0122a258e,1721286.5574096527
0122a4305,890065.9026312055
01230d8ba,698365.8928538584
012414f4e,5416666.66
012452125,1747715.1061743454
0124529b5,268000.0
012556288,3479869.475767685
01257c24c,2009559.9300249484
01258b972,1243043.293695921
0125b64db,1712636.337995554
01295ef92,3396005.7301947516
012a2752f,2475915.0742510566
012b6ba95,380000.0
012b96b58,2290453.1504667006
012e881b9,2259939.655350109
012f25e94,3355188.4740733677
012fa70bb,4170000.0
01304fc0a,2066947.1667426908
013230913,3370240.7705666735
01336ceb8,1460407.8161090259
0133b85e7,1809993.9514206205
0136f8766,2409019.7584939683
0137356b9,2376488.4120540367
013750184,430076.0258385201
013a3f07c,2035295.2266704435
013cc1c13,2090839.004283683
013e96334,1184250.5661534744
013fae0b1,3110822.3271687846
014076343,1252845.3335017457
0140ea0ba,2760821.9172945865
0143ee127,199153.99038964635
014461014,1940632.5876402848
01446634f,800000.0
014729fb2,17000000.0
014749c88,3555000.0
014787fc1,1460000.0
014a6143c,1777366.974881583
014af25cd,1737587.8213489456
014b5797e,6326671.982883354
014badcb1,1192229.5813335504
014c523b1,20000000.0
014e55fdb,1417575.2685225676
014ea0456,2209870.778092924
0151cc525,1539750.311946485
015409983,3749941.7214117525
015411bfe,2006771.1235769265
01560b792,47000.0
0157b07da,2721816.7862342857
01587bbbc,1823596.117116897
0158ba234,2494209.54362112
01590d52a,14800000.0
